category,consumer,cost_type,creation_time,modification_time,rule,tag
"[30000,30003]",null,1,2021-12-06T06:20:21.000Z,2022-05-01T11:55:38.000Z,滴滴出行|智慧出行|高德打车|出租,1
"[90000,90001]",2,2,2021-12-06T06:20:21.000Z,2021-12-10T05:17:33.000Z,摄影|相机|佳能,2
"[30000,30002]",,1,2021-12-06T06:20:21.000Z,2022-11-19T03:01:17.000Z,长沙公交|长沙地铁|哈啰出行|摩拜单车,1
"[50000,50002]",3,1,2021-12-06T06:20:21.000Z,2022-12-03T02:57:04.000Z,塑料袋|湿厕纸|洁柔|垃圾袋|消毒液|立邦|卫生纸|佳洁士|牙膏|科沃斯|义乌百货|毛巾|蓝月亮洗衣液|洗衣液|洗碗机|洗发,3
"[50000,50005]",2,1,2021-12-06T06:20:21.000Z,2021-12-12T02:37:31.000Z,施华蔻|姨妈巾|美白丸|雅诗兰黛|面膜|兰蔻|兰芝|雅诗兰黛|眉笔|卸妆棉|洁面仪|粉底液|睫毛|口红|裸妆|化妆|欧莱雅,2
"[50000,50006]",3,1,2021-12-06T06:20:21.000Z,2022-01-03T12:32:15.000Z,宠物用品|小狗|狗粮|动物医院|宠物,3
"[50000,50001]",4,1,2021-12-06T06:20:21.000Z,2021-12-15T08:03:59.000Z,童泰|尼多熊|babylove|巴拉巴拉,2
"[50000,50002]",3,1,2021-12-06T06:20:21.000Z,,十月结晶,3
"[20000,20005]",3,1,2021-12-06T06:20:21.000Z,2021-12-12T06:33:55.000Z,EMS邮费|寄件费|顺丰|运费险|EMS|丰巢,1
"[30000,30005]",3,1,2021-12-06T06:20:21.000Z,2023-02-01T12:56:24.000Z,停车费|湘A1207|停车场|高速公路|湖南谋信物业服务有限公司|ETCP停车|停车缴费,1
"[80000,80002]",,1,2021-12-06T06:20:21.000Z,,第四医院|挂号|湘雅,2
"[50000,50003]",,1,2021-12-06T06:20:21.000Z,2021-12-11T15:29:57.000Z,iPadPro|iPhone 12|数码,2
"[50000,50004]",3,1,2021-12-06T06:20:21.000Z,2021-12-12T02:36:18.000Z,洗碗盐|厨房|苏泊尔|汤盘|调料|盘子,3
"[20000,20002]",3,1,2021-12-09T14:32:09.000Z,,长房物业,1
"[50000,50008]",3,1,2021-12-09T14:53:07.000Z,2021-12-12T06:49:17.000Z,卫生间|家具|绿植|装饰品|宜家|收纳|格力,3
"[50000,50001]",null,1,2021-12-10T05:26:45.000Z,2022-12-03T02:56:34.000Z,短袖|优衣库|棉袜|拖鞋|三枪|南极人|短裤|王府井购物中心|热风|袜子|胸罩,2
"[80000,80003]",3,1,2021-12-11T14:51:41.000Z,2021-12-11T15:07:28.000Z,大药房|医疗器械,3
"[80000,80002]",4,1,2021-12-11T14:59:30.000Z,2022-01-03T12:42:06.000Z,八方社区卫生服务站|儿童医院|丝塔芙|美皮康|卫生服务中心,2
"[30000,30007]",null,1,2021-12-11T15:05:04.000Z,2022-12-03T03:00:44.000Z,别克|70迈|学车|驾校|交警缴费|湖南永通华诚,2
"[70000,70003]",4,3,2021-12-11T15:26:10.000Z,2021-12-12T06:35:53.000Z,玩具|儿童平台|彩虹乐园|游乐园,2
"[90000,90002]",4,2,2021-12-11T15:28:27.000Z,2021-12-12T06:24:20.000Z,早教|打印资料|凯迪克图书,2
"[50000,50009]",3,2,2021-12-12T06:27:43.000Z,,琴弦,2
"[20000,20008]",3,2,2021-12-12T06:35:01.000Z,2023-01-23T05:09:45.000Z,赛格尔洗衣|盐城市玥曼,3
"[60000,60001]",,2,2021-12-12T06:35:30.000Z,,群红包,2
"[90000,90002]",,2,2021-12-12T06:50:50.000Z,,中公教育,2
"[20000,20003]",3,1,2021-12-15T08:00:27.000Z,,燃气|新奥,1
"[20000,20001]",3,1,2022-06-01T08:14:30.000Z,,长沙供水有限公司,1
"[90000,90003]",,2,2022-07-01T03:03:46.000Z,2022-12-03T02:26:38.000Z,行行查|风行篮球,2
"[30000,30006]",3,1,2023-04-05T03:00:02.761Z,2023-04-05T03:00:02.761Z,车用汽油|湖南石油分公司,1
"[10000,10005]",null,1,2023-09-03T06:16:57.512Z,2023-09-03T06:16:57.512Z,沙县小吃|长沙尊之客餐,1
"[10000,10005]",1,1,2024-03-04T03:47:11.469Z,2024-03-04T03:47:11.469Z,白记盖拌|店iOgqgl,1
"[30000,30004]",,1,2024-09-28T01:35:21.321Z,2024-09-28T01:35:21.321Z,火车票,2
"[20000,20011]",3,1,2024-09-28T01:37:57.174Z,2024-09-28T01:37:57.174Z,包月,1
